Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year
1993-01-29,25.14021483457953,25.14021483457953,25.015139138885107,25.122346878051758,1003200,29,4,4,1,1993
1993-02-01,25.140215683791595,25.301027297973633,25.140215683791595,25.301027297973633,480500,1,0,5,2,1993
1993-02-02,25.28317100653941,25.37251083341764,25.229567110412468,25.354642868041992,201300,2,1,5,2,1993
1993-02-03,25.390364817163103,25.6405161946721,25.372496861626747,25.622648239135742,529400,3,2,5,2,1993
1993-02-04,25.711979005071854,25.783450802167255,25.42609181669023,25.729846954345703,531500,4,3,5,2,1993
1993-02-05,25.711997985839844,25.765601873232146,25.569054286127045,25.711997985839844,492100,5,4,5,2,1993
1993-02-08,25.711997985839844,25.801337798160343,25.676262060911643,25.711997985839844,596100,8,0,6,2,1993
1993-02-09,25.622643977299365,25.622643977299365,25.479700356784445,25.53330421447754,122100,9,1,6,2,1993
1993-02-10,25.53330629776609,25.586910159832776,25.46183448167717,25.569042205810547,379600,10,2,6,2,1993
1993-02-11,25.604776826786896,25.801324311151625,25.604776826786896,25.694116592407227,19500,11,3,6,2,1993
1993-02-12,25.658389299335226,25.658389299335226,25.497577667236328,25.497577667236328,42500,12,4,6,2,1993
1993-02-16,25.426106681247823,25.426106681247823,24.81859605077528,24.854331970214844,374800,16,1,7,2,1993
1993-02-17,24.85432425299994,24.89006016134358,24.74711652796903,24.836456298828125,210900,17,2,7,2,1993
1993-02-18,25.12232610044761,25.12232610044761,24.479080197448948,24.818571090698242,378100,18,3,7,2,1993
1993-02-19,24.818594396199863,24.907934188842773,24.7828584791427,24.907934188842773,34900,19,4,7,2,1993
1993-02-22,24.979396910050497,25.033000766080647,24.907925102010296,24.997264862060547,513600,22,0,8,2,1993
1993-02-23,25.068742322307802,25.08661027834651,24.8543268498433,24.979402542114258,373700,23,1,8,2,1993
1993-02-24,24.997272026740898,25.301027297973633,24.997272026740898,25.301027297973633,26300,24,2,8,2,1993
1993-02-25,25.28317100653941,25.37251083341764,25.229567110412468,25.354642868041992,44500,25,3,8,2,1993
1993-02-26,25.40823164798272,25.40823164798272,25.265288010019386,25.390363693237305,66200,26,4,8,2,1993
1993-03-01,25.479697357371563,25.479697357371563,25.283149902300675,25.318885803222656,66500,1,0,9,3,1993
1993-03-02,25.3367575299259,25.694116592407227,25.30102162367777,25.694116592407227,182400,2,1,9,3,1993
1993-03-03,25.729860638647526,25.81920043253172,25.69412472109385,25.801332473754883,280100,3,2,9,3,1993
1993-03-04,25.83706580031881,25.83706580031881,25.65838623046875,25.65838623046875,89500,4,3,9,3,1993
1993-03-05,25.694129464346606,25.801337236798677,25.56905372981919,25.58692169189453,40000,5,4,9,3,1993
1993-03-08,25.64051125870376,26.158681869506836,25.64051125870376,26.158681869506836,50800,8,0,10,3,1993
1993-03-09,26.10509093286568,26.122958893805354,26.015751128167302,26.069355010986328,169300,9,1,10,3,1993
1993-03-10,26.069349543340557,26.122953414916992,25.96214180018768,26.122953414916992,194400,10,2,10,3,1993
1993-03-11,26.140819117856125,26.212290940461337,26.015743428297004,26.05147933959961,70900,11,3,10,3,1993
